国家,确诊,治愈,死亡,日期
澳大利亚,13,2,0,2020-02-04
马来西亚,10,0,0,2020-02-04
越南,10,1,0,2020-02-04
中国,24420,1020,493,2020-02-05
加拿大,5,0,0,2020-02-05
日本,35,1,0,2020-02-05
韩国,19,0,0,2020-02-05
马来西亚,12,0,0,2020-02-05
中国,28183,1377,564,2020-02-06
美国,12,0,0,2020-02-06
日本,45,1,0,2020-02-06
新加坡,28,0,0,2020-02-06
韩国,23,0,0,2020-02-06
澳大利亚,14,2,0,2020-02-06
中国,31269,1753,637,2020-02-07
日本,86,1,0,2020-02-07
新加坡,30,0,0,2020-02-07
韩国,24,1,0,2020-02-07
澳大利亚,15,2,0,2020-02-07
马来西亚,12,1,0,2020-02-07
中国,34696,2376,724,2020-02-08
英国,3,0,0,2020-02-08
菲律宾,3,0,1,2020-02-08
阿联酋,7,0,0,2020-02-08
日本,89,1,0,2020-02-08
新加坡,33,2,0,2020-02-08
德国,14,0,0,2020-02-08
泰国,32,10,0,2020-02-08
法国,11,0,0,2020-02-08
意大利,3,0,0,2020-02-08
澳大利亚,15,3,0,2020-02-08
马来西亚,16,1,0,2020-02-08
越南,13,1,0,2020-02-08
中国,37314,2902,813,2020-02-09
加拿大,7,0,0,2020-02-09
新加坡,40,2,0,2020-02-09
韩国,25,3,0,2020-02-09
中国,40273,3551,909,2020-02-10
美国,12,0,0,2020-02-10
印度,3,0,0,2020-02-10
英国,3,0,0,2020-02-10
俄罗斯,2,0,0,2020-02-10
西班牙,2,0,0,2020-02-10
菲律宾,3,0,1,2020-02-10
加拿大,7,0,0,2020-02-10
阿联酋,7,0,0,2020-02-10
尼泊尔,1,0,0,2020-02-10
日本,156,4,0,2020-02-10
新加坡,43,2,0,2020-02-10
德国,14,0,0,2020-02-10
韩国,27,3,0,2020-02-10
芬兰,1,0,0,2020-02-10
泰国,32,10,0,2020-02-10
瑞典,1,0,0,2020-02-10
法国,11,0,0,2020-02-10
比利时,1,0,0,2020-02-10
意大利,3,0,0,2020-02-10
澳大利亚,15,3,0,2020-02-10
斯里兰卡,1,0,0,2020-02-10
马来西亚,18,1,0,2020-02-10
越南,14,1,0,2020-02-10
柬埔寨,1,0,0,2020-02-10
中国,42660,4294,1017,2020-02-11
美国,13,0,0,2020-02-11
印度,3,0,0,2020-02-11
英国,8,0,0,2020-02-11
俄罗斯,2,0,0,2020-02-11
西班牙,2,0,0,2020-02-11
菲律宾,3,0,1,2020-02-11
加拿大,7,0,0,2020-02-11
阿联酋,8,0,0,2020-02-11
尼泊尔,1,0,0,2020-02-11
日本,161,9,0,2020-02-11
新加坡,45,7,0,2020-02-11
德国,14,0,0,2020-02-11
韩国,28,3,0,2020-02-11
芬兰,1,0,0,2020-02-11
泰国,32,10,0,2020-02-11
瑞典,1,0,0,2020-02-11
法国,11,0,0,2020-02-11
比利时,1,0,0,2020-02-11
意大利,3,0,0,2020-02-11
澳大利亚,15,3,0,2020-02-11
斯里兰卡,1,0,0,2020-02-11
马来西亚,18,3,0,2020-02-11
越南,15,1,0,2020-02-11
柬埔寨,1,0,0,2020-02-11
中国,44807,5071,1116,2020-02-12
美国,13,3,0,2020-02-12
印度,3,0,0,2020-02-12
英国,8,0,0,2020-02-12
俄罗斯,2,0,0,2020-02-12
西班牙,2,0,0,2020-02-12
菲律宾,3,1,1,2020-02-12
加拿大,7,0,0,2020-02-12
阿联酋,8,1,0,2020-02-12
尼泊尔,1,0,0,2020-02-12
日本,203,9,0,2020-02-12
新加坡,47,9,0,2020-02-12
德国,16,0,0,2020-02-12
韩国,28,4,0,2020-02-12
芬兰,1,1,0,2020-02-12
泰国,33,10,0,2020-02-12
瑞典,1,0,0,2020-02-12
法国,11,0,0,2020-02-12
比利时,1,0,0,2020-02-12
意大利,3,0,0,2020-02-12
澳大利亚,15,5,0,2020-02-12
斯里兰卡,1,0,0,2020-02-12
马来西亚,18,3,0,2020-02-12
越南,15,3,0,2020-02-12
柬埔寨,1,1,0,2020-02-12
中国,59968,6221,1368,2020-02-13
美国,14,3,0,2020-02-13
印度,3,0,0,2020-02-13
英国,9,0,0,2020-02-13
俄罗斯,2,0,0,2020-02-13
西班牙,2,0,0,2020-02-13
菲律宾,3,1,1,2020-02-13
加拿大,7,2,0,2020-02-13
阿联酋,8,1,0,2020-02-13
尼泊尔,1,0,0,2020-02-13
日本,247,9,1,2020-02-13
新加坡,58,15,0,2020-02-13
德国,16,1,0,2020-02-13
韩国,28,7,0,2020-02-13
芬兰,1,1,0,2020-02-13
泰国,33,10,0,2020-02-13
瑞典,1,0,0,2020-02-13
法国,11,0,0,2020-02-13
比利时,1,0,0,2020-02-13
意大利,3,0,0,2020-02-13
澳大利亚,15,5,0,2020-02-13
斯里兰卡,1,0,0,2020-02-13
马来西亚,19,3,0,2020-02-13
越南,16,3,0,2020-02-13
柬埔寨,1,1,0,2020-02-13
中国,63896,7044,1380,2020-02-14
美国,15,3,0,2020-02-14
印度,3,0,0,2020-02-14
英国,9,0,0,2020-02-14
俄罗斯,2,2,0,2020-02-14
西班牙,2,0,0,2020-02-14
菲律宾,3,1,1,2020-02-14
加拿大,7,2,0,2020-02-14
阿联酋,8,1,0,2020-02-14
尼泊尔,1,0,0,2020-02-14
日本,253,9,1,2020-02-14
新加坡,67,17,0,2020-02-14
德国,16,1,0,2020-02-14
韩国,28,7,0,2020-02-14
芬兰,1,1,0,2020-02-14
泰国,33,10,0,2020-02-14
瑞典,1,0,0,2020-02-14
法国,11,0,0,2020-02-14
比利时,1,0,0,2020-02-14
意大利,3,0,0,2020-02-14
澳大利亚,15,5,0,2020-02-14
斯里兰卡,1,0,0,2020-02-14
马来西亚,19,3,0,2020-02-14
越南,16,7,0,2020-02-14
柬埔寨,1,1,0,2020-02-14
中国,66564,8494,1523,2020-02-15
美国,15,3,0,2020-02-15
印度,3,0,0,2020-02-15
英国,9,0,0,2020-02-15
俄罗斯,2,2,0,2020-02-15
西班牙,2,0,0,2020-02-15
埃及,1,0,0,2020-02-15
菲律宾,3,1,1,2020-02-15
加拿大,8,2,0,2020-02-15
阿联酋,8,3,0,2020-02-15
尼泊尔,1,0,0,2020-02-15
日本,326,12,1,2020-02-15
新加坡,72,17,0,2020-02-15
德国,16,1,0,2020-02-15
韩国,28,7,0,2020-02-15
芬兰,1,1,0,2020-02-15
泰国,33,13,0,2020-02-15
瑞典,1,0,0,2020-02-15
法国,11,0,1,2020-02-15
比利时,1,0,0,2020-02-15
意大利,3,0,0,2020-02-15
澳大利亚,15,5,0,2020-02-15
斯里兰卡,1,0,0,2020-02-15
马来西亚,19,3,0,2020-02-15
越南,16,7,0,2020-02-15
柬埔寨,1,1,0,2020-02-15
中国,68576,9724,1667,2020-02-16
美国,15,3,0,2020-02-16
印度,3,3,0,2020-02-16
英国,9,8,0,2020-02-16
俄罗斯,2,2,0,2020-02-16
西班牙,2,0,0,2020-02-16
埃及,1,0,0,2020-02-16
菲律宾,3,1,1,2020-02-16
加拿大,8,2,0,2020-02-16
阿联酋,8,4,0,2020-02-16
尼泊尔,1,0,0,2020-02-16
日本,62,12,1,2020-02-16
新加坡,72,18,0,2020-02-16
德国,16,1,0,2020-02-16
韩国,29,9,0,2020-02-16
芬兰,1,1,0,2020-02-16
泰国,34,14,0,2020-02-16
钻石公主号邮轮,355,0,0,2020-02-16
瑞典,1,0,0,2020-02-16
法国,12,4,1,2020-02-16
比利时,1,0,0,2020-02-16
意大利,3,0,0,2020-02-16
澳大利亚,15,10,0,2020-02-16
斯里兰卡,1,0,0,2020-02-16
马来西亚,22,7,0,2020-02-16
越南,16,7,0,2020-02-16
柬埔寨,1,1,0,2020-02-16
中国,70687,11271,1772,2020-02-17
美国,15,3,0,2020-02-17
印度,3,3,0,2020-02-17
英国,9,8,0,2020-02-17
俄罗斯,2,2,0,2020-02-17
埃及,1,0,0,2020-02-17
加拿大,8,2,0,2020-02-17
阿联酋,9,4,0,2020-02-17
日本,62,12,1,2020-02-17
新加坡,77,24,0,2020-02-17
德国,16,1,0,2020-02-17
韩国,30,9,0,2020-02-17
泰国,35,14,0,2020-02-17
钻石公主号邮轮,454,0,0,2020-02-17
法国,12,4,1,2020-02-17
比利时,1,1,0,2020-02-17
澳大利亚,15,10,0,2020-02-17
马来西亚,22,7,0,2020-02-17
越南,16,7,0,2020-02-17
中国,72573,13003,1871,2020-02-18
印度,3,3,0,2020-02-18
英国,9,8,0,2020-02-18
阿联酋,9,4,0,2020-02-18
日本,74,12,1,2020-02-18
新加坡,77,24,0,2020-02-18
韩国,30,12,0,2020-02-18
泰国,35,15,0,2020-02-18
钻石公主号邮轮,542,0,0,2020-02-18
法国,12,4,1,2020-02-18
比利时,1,1,0,2020-02-18
澳大利亚,15,10,0,2020-02-18
马来西亚,22,7,0,2020-02-18
中国,74348,14944,2009,2020-02-19
印度,3,3,0,2020-02-19
英国,9,8,0,2020-02-19
西班牙,2,2,0,2020-02-19
阿联酋,9,4,0,2020-02-19
尼泊尔,1,1,0,2020-02-19
日本,84,12,1,2020-02-19
新加坡,84,34,0,2020-02-19
韩国,51,16,0,2020-02-19
泰国,35,15,0,2020-02-19
钻石公主号邮轮,621,0,0,2020-02-19
法国,12,4,1,2020-02-19
比利时,1,1,0,2020-02-19
澳大利亚,15,10,0,2020-02-19
斯里兰卡,1,1,0,2020-02-19
马来西亚,22,15,0,2020-02-19
中国,74736,16720,2122,2020-02-20
美国,15,3,0,2020-02-20
印度,3,3,0,2020-02-20
英国,9,8,0,2020-02-20
俄罗斯,2,2,0,2020-02-20
西班牙,2,2,0,2020-02-20
埃及,1,0,0,2020-02-20
加拿大,8,2,0,2020-02-20
伊朗,2,0,2,2020-02-20
阿联酋,9,4,0,2020-02-20
尼泊尔,1,1,0,2020-02-20
日本,84,12,1,2020-02-20
新加坡,84,34,0,2020-02-20
德国,16,1,0,2020-02-20
韩国,104,16,1,2020-02-20
泰国,35,15,0,2020-02-20
钻石公主号邮轮,634,0,2,2020-02-20
法国,12,4,1,2020-02-20
比利时,1,1,0,2020-02-20
澳大利亚,15,10,0,2020-02-20
斯里兰卡,1,1,0,2020-02-20
马来西亚,22,15,0,2020-02-20
越南,16,7,0,2020-02-20
中国,75635,18697,2239,2020-02-21
西班牙,2,2,0,2020-02-21
伊朗,18,0,4,2020-02-21
尼泊尔,1,1,0,2020-02-21
日本,105,22,1,2020-02-21
新加坡,85,37,0,2020-02-21
德国,16,7,0,2020-02-21
韩国,204,16,2,2020-02-21
泰国,35,17,0,2020-02-21
钻石公主号邮轮,634,0,2,2020-02-21
澳大利亚,17,11,0,2020-02-21
斯里兰卡,1,1,0,2020-02-21
马来西亚,22,15,0,2020-02-21
越南,16,14,0,2020-02-21
中国,76254,20947,2345,2020-02-22
美国,35,3,0,2020-02-22
西班牙,2,2,0,2020-02-22
以色列,1,0,0,2020-02-22
伊朗,28,0,5,2020-02-22
阿联酋,13,4,0,2020-02-22
尼泊尔,1,1,0,2020-02-22
日本,122,22,1,2020-02-22
新加坡,85,37,0,2020-02-22
德国,16,7,0,2020-02-22
韩国,433,16,2,2020-02-22
泰国,35,17,0,2020-02-22
钻石公主号邮轮,634,0,2,2020-02-22
意大利,20,0,2,2020-02-22
澳大利亚,21,11,0,2020-02-22
黎巴嫩,1,0,0,2020-02-22
斯里兰卡,1,1,0,2020-02-22
马来西亚,22,15,0,2020-02-22
越南,16,14,0,2020-02-22
中国,77123,23210,2445,2020-02-23
美国,35,3,0,2020-02-23
伊拉克,1,0,0,2020-02-23
以色列,1,0,0,2020-02-23
伊朗,43,0,8,2020-02-23
阿联酋,13,4,0,2020-02-23
日本,135,22,1,2020-02-23
新加坡,89,51,0,2020-02-23
德国,16,7,0,2020-02-23
韩国,602,16,6,2020-02-23
泰国,35,21,0,2020-02-23
钻石公主号邮轮,691,0,3,2020-02-23
意大利,117,1,2,2020-02-23
澳大利亚,21,11,0,2020-02-23
黎巴嫩,1,0,0,2020-02-23
越南,16,14,0,2020-02-23
中国,77169,24914,2594,2020-02-24
美国,35,3,0,2020-02-24
英国,13,8,0,2020-02-24
伊拉克,1,0,0,2020-02-24
加拿大,10,3,0,2020-02-24
以色列,2,0,0,2020-02-24
伊朗,61,0,12,2020-02-24
阿富汗,1,0,0,2020-02-24
科威特,1,0,0,2020-02-24
阿联酋,13,4,0,2020-02-24
日本,159,22,1,2020-02-24
新加坡,89,51,0,2020-02-24
德国,16,14,0,2020-02-24
巴林,1,0,0,2020-02-24
韩国,833,18,8,2020-02-24
泰国,35,21,0,2020-02-24
钻石公主号邮轮,691,0,3,2020-02-24
意大利,230,2,6,2020-02-24
澳大利亚,22,10,0,2020-02-24
黎巴嫩,1,0,0,2020-02-24
马来西亚,22,18,0,2020-02-24
中国,77524,27492,2662,2020-02-25
美国,53,3,0,2020-02-25
英国,13,8,0,2020-02-25
西班牙,3,2,0,2020-02-25
伊拉克,1,0,0,2020-02-25
加拿大,11,4,0,2020-02-25
以色列,6,0,0,2020-02-25
伊朗,95,0,16,2020-02-25
阿曼,2,0,0,2020-02-25
阿富汗,1,0,0,2020-02-25
科威特,8,0,0,2020-02-25
阿联酋,13,4,0,2020-02-25
日本,170,22,1,2020-02-25
新加坡,90,53,0,2020-02-25
德国,16,14,0,2020-02-25
巴林,8,0,0,2020-02-25
韩国,977,22,10,2020-02-25
泰国,37,22,0,2020-02-25
钻石公主号邮轮,691,0,3,2020-02-25
法国,12,11,1,2020-02-25
意大利,283,1,7,2020-02-25
澳大利亚,22,15,0,2020-02-25
克罗地亚,1,0,0,2020-02-25
黎巴嫩,1,0,0,2020-02-25
马来西亚,22,18,0,2020-02-25
越南,16,16,0,2020-02-25
中国,78095,29986,2716,2020-02-26
美国,57,3,0,2020-02-26
印度,3,3,0,2020-02-26
英国,13,8,0,2020-02-26
俄罗斯,2,2,0,2020-02-26
西班牙,7,2,0,2020-02-26
埃及,1,0,0,2020-02-26
菲律宾,3,1,1,2020-02-26
伊拉克,1,0,0,2020-02-26
加拿大,11,4,0,2020-02-26
以色列,6,0,0,2020-02-26
伊朗,139,0,19,2020-02-26
阿曼,2,0,0,2020-02-26
阿富汗,1,0,0,2020-02-26
科威特,25,0,0,2020-02-26
阿联酋,13,4,0,2020-02-26
尼泊尔,1,1,0,2020-02-26
日本,178,22,2,2020-02-26
新加坡,93,62,0,2020-02-26
德国,19,14,0,2020-02-26
巴林,26,0,0,2020-02-26
瑞士,1,0,0,2020-02-26
韩国,1261,22,12,2020-02-26
芬兰,1,1,0,2020-02-26
泰国,40,22,0,2020-02-26
钻石公主号邮轮,705,0,4,2020-02-26
瑞典,1,0,0,2020-02-26
法国,17,11,2,2020-02-26
比利时,1,1,0,2020-02-26
意大利,374,1,12,2020-02-26
阿尔及利亚,1,0,0,2020-02-26
澳大利亚,22,15,0,2020-02-26
希腊,1,0,0,2020-02-26
奥地利,2,0,0,2020-02-26
克罗地亚,1,0,0,2020-02-26
黎巴嫩,1,0,0,2020-02-26
斯里兰卡,1,1,0,2020-02-26
马来西亚,22,18,0,2020-02-26
越南,16,16,0,2020-02-26
柬埔寨,1,1,0,2020-02-26
中国,78564,32853,2744,2020-02-27
美国,60,3,0,2020-02-27
巴西,1,0,0,2020-02-27
英国,15,8,0,2020-02-27
西班牙,13,2,0,2020-02-27
巴基斯坦,2,0,0,2020-02-27
伊拉克,6,0,0,2020-02-27
加拿大,12,4,0,2020-02-27
以色列,7,1,0,2020-02-27
伊朗,245,49,26,2020-02-27
阿曼,4,0,0,2020-02-27
阿富汗,1,0,0,2020-02-27
罗马尼亚,1,0,0,2020-02-27
科威特,43,0,0,2020-02-27
日本,189,22,3,2020-02-27
新加坡,93,62,0,2020-02-27
德国,27,14,0,2020-02-27
巴林,33,0,0,2020-02-27
瑞士,4,0,0,2020-02-27
韩国,1766,22,13,2020-02-27
爱沙尼亚,1,0,0,2020-02-27
芬兰,2,1,0,2020-02-27
格鲁吉亚,1,0,0,2020-02-27
泰国,40,22,0,2020-02-27
钻石公主号邮轮,705,0,4,2020-02-27
瑞典,2,0,0,2020-02-27
法国,18,11,2,2020-02-27
意大利,528,40,14,2020-02-27
阿尔及利亚,1,0,0,2020-02-27
北马其顿,1,0,0,2020-02-27
丹麦,1,0,0,2020-02-27
澳大利亚,23,15,0,2020-02-27
希腊,3,0,0,2020-02-27
奥地利,3,0,0,2020-02-27
克罗地亚,3,0,0,2020-02-27
黎巴嫩,3,0,0,2020-02-27
挪威,1,0,0,2020-02-27
马来西亚,23,18,0,2020-02-27
越南,16,16,0,2020-02-27
中国,78669,36057,2788,2020-02-28
美国,60,3,0,2020-02-28
巴西,1,0,0,2020-02-28
英国,16,8,0,2020-02-28
俄罗斯,1,0,0,2020-02-28
西班牙,25,2,0,2020-02-28
巴基斯坦,2,0,0,2020-02-28
埃及,1,1,0,2020-02-28
荷兰,1,0,0,2020-02-28
伊拉克,7,0,0,2020-02-28
加拿大,14,4,0,2020-02-28
以色列,7,1,0,2020-02-28
伊朗,270,49,26,2020-02-28
阿曼,6,0,0,2020-02-28
尼日利亚,1,0,0,2020-02-28
阿富汗,1,0,0,2020-02-28
罗马尼亚,1,0,0,2020-02-28
科威特,43,0,0,2020-02-28
阿联酋,19,5,0,2020-02-28
白俄罗斯,1,0,0,2020-02-28
日本,226,22,4,2020-02-28
新加坡,93,62,0,2020-02-28
德国,48,14,0,2020-02-28
巴林,33,0,0,2020-02-28
瑞士,8,0,0,2020-02-28
韩国,2337,22,13,2020-02-28
立陶宛,1,0,0,2020-02-28
爱沙尼亚,1,0,0,2020-02-28
芬兰,2,1,0,2020-02-28
格鲁吉亚,1,0,0,2020-02-28
泰国,41,28,0,2020-02-28
钻石公主号邮轮,705,0,5,2020-02-28
瑞典,7,0,0,2020-02-28
法国,38,11,2,2020-02-28
意大利,653,45,17,2020-02-28
阿尔及利亚,1,0,0,2020-02-28
北马其顿,1,0,0,2020-02-28
丹麦,1,0,0,2020-02-28
澳大利亚,23,15,0,2020-02-28
希腊,4,0,0,2020-02-28
奥地利,5,0,0,2020-02-28
克罗地亚,3,0,0,2020-02-28
黎巴嫩,3,0,0,2020-02-28
挪威,4,0,0,2020-02-28
爱尔兰,16,8,0,2020-02-28
马来西亚,23,18,0,2020-02-28
越南,16,16,0,2020-02-28
新西兰,1,0,0,2020-02-28
英国（含北爱尔兰）,16,8,0,2020-02-28
北爱尔兰,16,8,0,2020-02-28
中国,79109,39106,2832,2020-02-29
美国,63,3,0,2020-02-29
巴西,1,0,0,2020-02-29
印度,3,3,0,2020-02-29
英国,20,8,0,2020-02-29
俄罗斯,2,2,0,2020-02-29
墨西哥,3,0,0,2020-02-29
西班牙,41,2,0,2020-02-29
巴基斯坦,2,0,0,2020-02-29
埃及,1,1,0,2020-02-29
菲律宾,3,1,1,2020-02-29
荷兰,2,0,0,2020-02-29
伊拉克,8,0,0,2020-02-29
加拿大,16,4,0,2020-02-29
以色列,9,1,0,2020-02-29
伊朗,593,123,43,2020-02-29
阿曼,6,1,0,2020-02-29
尼日利亚,1,0,0,2020-02-29
阿富汗,1,0,0,2020-02-29
罗马尼亚,3,0,0,2020-02-29
科威特,43,0,0,2020-02-29
阿联酋,21,5,0,2020-02-29
阿塞拜疆,1,0,0,2020-02-29
白俄罗斯,1,0,0,2020-02-29
尼泊尔,1,1,0,2020-02-29
日本,240,22,5,2020-02-29
新加坡,98,69,0,2020-02-29
德国,66,14,0,2020-02-29
巴林,38,0,0,2020-02-29
瑞士,15,0,0,2020-02-29
韩国,3150,27,16,2020-02-29
立陶宛,1,0,0,2020-02-29
爱沙尼亚,1,0,0,2020-02-29
芬兰,3,1,0,2020-02-29
格鲁吉亚,2,0,0,2020-02-29
泰国,42,28,0,2020-02-29
钻石公主号邮轮,705,0,6,2020-02-29
瑞典,12,0,0,2020-02-29
法国,57,11,2,2020-02-29
比利时,1,1,0,2020-02-29
意大利,888,46,21,2020-02-29
阿尔及利亚,1,0,0,2020-02-29
北马其顿,1,0,0,2020-02-29
丹麦,3,0,0,2020-02-29
澳大利亚,25,15,0,2020-02-29
希腊,4,0,0,2020-02-29
奥地利,5,0,0,2020-02-29
克罗地亚,5,0,0,2020-02-29
黎巴嫩,3,0,0,2020-02-29
斯里兰卡,1,1,0,2020-02-29
挪威,7,0,0,2020-02-29
爱尔兰,20,8,0,2020-02-29
马来西亚,25,18,0,2020-02-29
冰岛,1,0,0,2020-02-29
越南,16,16,0,2020-02-29
摩纳哥,1,0,0,2020-02-29
柬埔寨,1,1,0,2020-02-29
新西兰,1,0,0,2020-02-29
大不列颠及北爱尔兰联合王国,20,8,0,2020-02-29
英国（含北爱尔兰）,20,8,0,2020-02-29
北爱尔兰,20,8,0,2020-02-29
中国,79799,42006,2871,2020-03-01
美国,63,3,1,2020-03-01
巴西,2,0,0,2020-03-01
印度,3,3,0,2020-03-01
英国,35,8,0,2020-03-01
俄罗斯,2,2,0,2020-03-01
墨西哥,4,0,0,2020-03-01
西班牙,58,2,0,2020-03-01
巴基斯坦,3,0,0,2020-03-01
埃及,1,1,0,2020-03-01
菲律宾,3,1,1,2020-03-01
荷兰,7,0,0,2020-03-01
伊拉克,13,0,0,2020-03-01
加拿大,20,4,0,2020-03-01
以色列,10,1,0,2020-03-01
伊朗,978,175,54,2020-03-01
阿曼,6,1,0,2020-03-01
尼日利亚,1,0,0,2020-03-01
阿富汗,1,0,0,2020-03-01
亚美尼亚,1,0,0,2020-03-01
罗马尼亚,3,0,0,2020-03-01
科威特,46,0,0,2020-03-01
阿联酋,21,5,0,2020-03-01
阿塞拜疆,3,0,0,2020-03-01
白俄罗斯,1,0,0,2020-03-01
尼泊尔,1,1,0,2020-03-01
日本,250,41,5,2020-03-01
新加坡,102,72,0,2020-03-01
德国,117,14,0,2020-03-01
巴林,41,0,0,2020-03-01
卢森堡,1,0,0,2020-03-01
瑞士,24,0,0,2020-03-01
韩国,3526,30,17,2020-03-01
立陶宛,1,0,0,2020-03-01
爱沙尼亚,1,0,0,2020-03-01
芬兰,3,1,0,2020-03-01
格鲁吉亚,3,0,0,2020-03-01
泰国,42,28,1,2020-03-01
钻石公主号邮轮,705,0,6,2020-03-01
瑞典,13,0,0,2020-03-01
法国,100,12,2,2020-03-01
厄瓜多尔,1,0,0,2020-03-01
比利时,2,1,0,2020-03-01
意大利,1128,50,29,2020-03-01
阿尔及利亚,1,0,0,2020-03-01
北马其顿,1,0,0,2020-03-01
卡塔尔,1,0,0,2020-03-01
丹麦,3,0,0,2020-03-01
澳大利亚,28,15,1,2020-03-01
希腊,7,0,0,2020-03-01
奥地利,10,0,0,2020-03-01
克罗地亚,7,0,0,2020-03-01
黎巴嫩,3,0,0,2020-03-01
斯里兰卡,1,1,0,2020-03-01
圣马力诺,1,0,0,2020-03-01
挪威,17,0,0,2020-03-01
爱尔兰,1,0,0,2020-03-01
马来西亚,29,18,0,2020-03-01
冰岛,1,0,0,2020-03-01
越南,16,16,0,2020-03-01
摩纳哥,1,0,0,2020-03-01
柬埔寨,1,1,0,2020-03-01
新西兰,1,0,0,2020-03-01
中国,79917,44610,2907,2020-03-02
美国,77,3,1,2020-03-02
巴西,2,0,0,2020-03-02
印度,2,0,0,2020-03-02
英国,36,8,0,2020-03-02
俄罗斯,2,2,0,2020-03-02
墨西哥,5,0,0,2020-03-02
西班牙,84,2,0,2020-03-02
巴基斯坦,4,0,0,2020-03-02
埃及,2,1,0,2020-03-02
菲律宾,3,1,1,2020-03-02
印度尼西亚,2,0,0,2020-03-02
荷兰,10,0,0,2020-03-02
伊拉克,19,0,0,2020-03-02
加拿大,24,4,0,2020-03-02
以色列,10,1,0,2020-03-02
伊朗,1501,175,66,2020-03-02
阿曼,6,1,0,2020-03-02
尼日利亚,1,0,0,2020-03-02
阿富汗,1,0,0,2020-03-02
亚美尼亚,1,0,0,2020-03-02
罗马尼亚,3,0,0,2020-03-02
科威特,46,0,0,2020-03-02
阿联酋,21,5,0,2020-03-02
阿塞拜疆,3,0,0,2020-03-02
白俄罗斯,1,0,0,2020-03-02
尼泊尔,1,1,0,2020-03-02
日本,274,41,6,2020-03-02
新加坡,106,74,0,2020-03-02
德国,130,14,0,2020-03-02
捷克,3,0,0,2020-03-02
巴林,47,0,0,2020-03-02
卢森堡,1,0,0,2020-03-02
瑞士,27,0,0,2020-03-02
韩国,4335,30,22,2020-03-02
立陶宛,1,0,0,2020-03-02
爱沙尼亚,1,0,0,2020-03-02
芬兰,6,1,0,2020-03-02
